atom,X,Y,Z
H,0.0,-0.3399819214898342,6.060616703984474
C,0.0,-0.512416235218968,7.131230524158596
C,0.0,-0.9557971933283883,9.884098836503327
C,0.0,-2.036978078682,9.003893292490682
C,0.0,0.3470755651323295,9.387870444362164
C,0.0,-1.8152873790909498,7.627458385495451
C,0.0,0.5687660708574674,8.011437224791603
H,0.0,-1.1282291005960894,10.954707568761926
H,0.0,-3.050370024395691,9.38986452398024
H,0.0,-2.656251836805002,6.942817449444502
H,0.0,1.582162511464123,7.625462605593196
H,0.0,1.188038934609926,10.072512712385493
