theta,A2,a,b,z,status
60.0,4.0,5.8,8.8,0.0,NotYet
60.0,6.0,5.8,8.8,0.0,NotYet
60.0,8.0,5.8,8.8,0.0,NotYet
60.0,10.0,5.8,8.8,0.0,NotYet
60.0,-6.0,5.8,8.8,0.2,NotYet
60.0,-4.0,5.8,8.8,0.2,NotYet
60.0,-2.0,5.8,8.8,0.2,NotYet
60.0,0.0,5.8,8.8,0.2,NotYet
60.0,2.0,5.8,8.8,0.2,NotYet
60.0,4.0,5.8,8.8,0.2,NotYet
60.0,6.0,5.8,8.8,0.2,NotYet
60.0,8.0,5.8,8.8,0.2,NotYet
60.0,10.0,5.8,8.8,0.2,NotYet
60.0,-4.0,5.8,8.8,0.0,NotYet
60.0,-6.0,5.8,8.8,0.4,NotYet
60.0,-4.0,5.8,8.8,0.4,NotYet
60.0,-2.0,5.8,8.8,0.4,NotYet
60.0,0.0,5.8,8.8,0.4,NotYet
60.0,2.0,5.8,8.8,0.4,NotYet
60.0,4.0,5.8,8.8,0.4,NotYet
60.0,6.0,5.8,8.8,0.4,NotYet
60.0,8.0,5.8,8.8,0.4,NotYet
60.0,10.0,5.8,8.8,0.4,NotYet
60.0,-6.0,5.8,8.8,0.6,NotYet
60.0,-4.0,5.8,8.8,0.6,NotYet
60.0,-2.0,5.8,8.8,0.6,NotYet
60.0,0.0,5.8,8.8,0.6,NotYet
60.0,2.0,5.8,8.8,0.6,NotYet
60.0,4.0,5.8,8.8,0.6,NotYet
60.0,8.0,5.8,8.8,0.6,NotYet
60.0,10.0,5.8,8.8,0.6,NotYet
60.0,-6.0,5.8,8.8,0.8,NotYet
60.0,-4.0,5.8,8.8,0.8,NotYet
60.0,-2.0,5.8,8.8,0.8,NotYet
60.0,0.0,5.8,8.8,0.8,NotYet
60.0,2.0,5.8,8.8,0.8,NotYet
60.0,4.0,5.8,8.8,0.8,NotYet
60.0,6.0,5.8,8.8,0.8,NotYet
60.0,8.0,5.8,8.8,0.8,NotYet
60.0,10.0,5.8,8.8,0.8,NotYet
60.0,-6.0,5.8,8.8,1.0,NotYet
60.0,-4.0,5.8,8.8,1.0,NotYet
60.0,-2.0,5.8,8.8,1.0,NotYet
60.0,6.0,5.8,8.8,0.6,NotYet
60.0,2.0,5.8,8.8,1.0,NotYet
60.0,4.0,5.8,8.8,1.0,NotYet
60.0,6.0,5.8,8.8,1.0,NotYet
60.0,8.0,5.8,8.8,1.0,NotYet
60.0,10.0,5.8,8.8,1.0,NotYet
60.0,-4.0,5.8,8.8,1.2,NotYet
60.0,-2.0,5.8,8.8,1.2,NotYet
60.0,0.0,5.8,8.8,1.2,NotYet
60.0,2.0,5.8,8.8,1.2,NotYet
60.0,4.0,5.8,8.8,1.2,NotYet
60.0,6.0,5.8,8.8,1.2,NotYet
60.0,8.0,5.8,8.8,1.2,NotYet
60.0,10.0,5.8,8.8,1.2,NotYet
60.0,0.0,5.8,8.8,1.0,NotYet
60.0,-4.0,5.8,8.8,1.4,NotYet
