theta,A2,phi,a,b,z,status
25.0,2.0,330.0,8.2,6.2,-0.2,NotYet
25.0,2.0,330.0,8.2,6.2,0.0,NotYet
25.0,4.0,160.0,8.2,6.2,1.2,NotYet
25.0,4.0,330.0,8.2,6.2,-0.4,NotYet
25.0,2.0,160.0,8.2,6.2,1.4,NotYet
25.0,2.0,160.0,8.2,6.2,1.2,NotYet
25.0,4.0,330.0,8.2,6.2,-0.2,NotYet
25.0,2.0,330.0,8.2,6.2,-0.4,NotYet
25.0,10.0,340.0,8.2,6.2,-0.8,NotYet
25.0,4.0,160.0,8.2,6.2,1.0,NotYet
25.0,10.0,150.0,8.2,6.2,0.8,NotYet
25.0,10.0,340.0,8.2,6.2,-0.6,NotYet
25.0,2.0,160.0,8.2,6.2,1.0,NotYet
25.0,10.0,150.0,8.2,6.2,0.6,NotYet
25.0,2.0,330.0,8.2,6.2,0.2,NotYet
25.0,10.0,340.0,8.2,6.2,-1.0,NotYet
25.0,4.0,330.0,8.2,6.2,0.0,NotYet
25.0,4.0,330.0,8.2,6.2,-0.6,NotYet
25.0,4.0,160.0,8.2,6.2,0.8,NotYet
25.0,10.0,340.0,8.2,6.2,-0.4,NotYet
25.0,2.0,160.0,8.2,6.2,0.8,NotYet
25.0,4.0,160.0,8.2,6.2,1.4,NotYet
25.0,10.0,150.0,8.2,6.2,0.4,NotYet
25.0,0.0,330.0,8.2,6.2,-0.2,NotYet
25.0,10.0,150.0,8.2,6.2,1.0,NotYet
25.0,2.0,160.0,8.2,6.2,0.6,NotYet
25.0,0.0,330.0,8.2,6.2,0.0,NotYet
25.0,0.0,160.0,8.2,6.2,1.4,NotYet
25.0,4.0,160.0,8.2,6.2,0.6,NotYet
25.0,2.0,160.0,8.2,6.2,0.4,NotYet
25.0,10.0,150.0,8.2,6.2,0.2,NotYet
25.0,12.0,340.0,8.2,6.2,-1.0,NotYet
25.0,4.0,330.0,8.2,6.2,0.2,NotYet
25.0,4.0,160.0,8.2,6.2,0.4,NotYet
25.0,8.0,150.0,8.2,6.2,1.0,NotYet
25.0,10.0,340.0,8.2,6.2,-0.2,NotYet
25.0,0.0,160.0,8.2,6.2,1.6,NotYet
25.0,0.0,160.0,8.2,6.2,1.2,NotYet
25.0,10.0,150.0,8.2,6.2,0.0,NotYet
25.0,12.0,340.0,8.2,6.2,-0.8,NotYet
25.0,-4.0,170.0,8.2,6.2,1.6,NotYet
25.0,12.0,150.0,8.2,6.2,0.6,NotYet
25.0,2.0,330.0,8.2,6.2,-0.6,NotYet
25.0,12.0,150.0,8.2,6.2,0.8,NotYet
25.0,-4.0,170.0,8.2,6.2,1.8,NotYet
25.0,0.0,330.0,8.2,6.2,0.2,NotYet
25.0,0.0,330.0,8.2,6.2,-0.4,NotYet
