theta,a,b,A2,z,phi,status
10.0,6.9,7.2,10.0,-2.0,30.0,NotYet
10.0,6.9,7.2,10.0,-2.0,40.0,NotYet
10.0,6.9,7.2,10.0,-2.0,50.0,NotYet
10.0,6.9,7.2,10.0,-2.0,60.0,NotYet
10.0,6.9,7.2,10.0,-2.0,70.0,NotYet
10.0,6.9,7.2,10.0,-2.0,80.0,NotYet
10.0,6.9,7.2,10.0,-2.0,90.0,NotYet
10.0,6.9,7.2,10.0,-2.0,100.0,NotYet
10.0,6.9,7.2,10.0,-2.0,110.0,NotYet
10.0,6.9,7.2,10.0,-2.0,120.0,NotYet
10.0,6.9,7.2,10.0,-2.0,130.0,NotYet
10.0,6.9,7.2,10.0,-2.0,140.0,NotYet
10.0,6.9,7.2,10.0,-2.0,150.0,NotYet
10.0,6.9,7.2,10.0,-2.0,160.0,NotYet
10.0,6.9,7.2,10.0,-2.0,170.0,NotYet
10.0,6.9,7.2,-10.0,-1.8,0.0,NotYet
10.0,6.9,7.2,-10.0,-1.8,10.0,NotYet
10.0,6.9,7.2,-10.0,-1.8,20.0,NotYet
10.0,6.9,7.2,-10.0,-1.8,30.0,NotYet
10.0,6.9,7.2,-10.0,-1.8,40.0,NotYet
10.0,6.9,7.2,-10.0,-1.8,50.0,NotYet
10.0,6.9,7.2,-10.0,-1.8,60.0,NotYet
10.0,6.9,7.2,-10.0,-1.8,70.0,NotYet
10.0,6.9,7.2,-10.0,-1.8,80.0,NotYet
10.0,6.9,7.2,-10.0,-1.8,90.0,NotYet
10.0,6.9,7.2,-10.0,-1.8,100.0,NotYet
10.0,6.9,7.2,-10.0,-1.8,110.0,NotYet
10.0,6.9,7.2,-10.0,-1.8,120.0,NotYet
10.0,6.9,7.2,-10.0,-1.8,130.0,NotYet
10.0,6.9,7.2,-10.0,-1.8,140.0,NotYet
10.0,6.9,7.2,-10.0,-1.8,150.0,NotYet
10.0,6.9,7.2,-10.0,-1.8,160.0,NotYet
10.0,6.9,7.2,-10.0,-1.8,170.0,NotYet
10.0,6.9,7.2,-8.0,-1.8,0.0,NotYet
10.0,6.9,7.2,-8.0,-1.8,10.0,NotYet
10.0,6.9,7.2,-8.0,-1.8,20.0,NotYet
10.0,6.9,7.2,-8.0,-1.8,30.0,NotYet
10.0,6.9,7.2,-8.0,-1.8,40.0,NotYet
10.0,6.9,7.2,-8.0,-1.8,50.0,NotYet
10.0,6.9,7.2,-8.0,-1.8,60.0,NotYet
10.0,6.9,7.2,-8.0,-1.8,70.0,NotYet
10.0,6.9,7.2,-8.0,-1.8,80.0,NotYet
10.0,6.9,7.2,-8.0,-1.8,90.0,NotYet
10.0,6.9,7.2,-8.0,-1.8,100.0,NotYet
10.0,6.9,7.2,-8.0,-1.8,110.0,NotYet
10.0,6.9,7.2,-8.0,-1.8,120.0,NotYet
10.0,6.9,7.2,-8.0,-1.8,130.0,NotYet
10.0,6.9,7.2,-8.0,-1.8,140.0,NotYet
10.0,6.9,7.2,-8.0,-1.8,150.0,NotYet
10.0,6.9,7.2,-8.0,-1.8,160.0,NotYet
10.0,6.9,7.2,-8.0,-1.8,170.0,NotYet
10.0,6.9,7.2,-6.0,-1.8,0.0,NotYet
10.0,6.9,7.2,-6.0,-1.8,10.0,NotYet
10.0,6.9,7.2,-6.0,-1.8,20.0,NotYet
10.0,6.9,7.2,-6.0,-1.8,30.0,NotYet
10.0,6.9,7.2,-6.0,-1.8,40.0,NotYet
10.0,6.9,7.2,-6.0,-1.8,50.0,NotYet
10.0,6.9,7.2,-6.0,-1.8,60.0,NotYet
10.0,6.9,7.2,-6.0,-1.8,70.0,NotYet
10.0,6.9,7.2,-6.0,-1.8,80.0,NotYet
10.0,6.9,7.2,-6.0,-1.8,90.0,NotYet
10.0,6.9,7.2,-6.0,-1.8,100.0,NotYet
10.0,6.9,7.2,-6.0,-1.8,110.0,NotYet
10.0,6.9,7.2,-6.0,-1.8,120.0,NotYet
10.0,6.9,7.2,-6.0,-1.8,130.0,NotYet
10.0,6.9,7.2,-6.0,-1.8,140.0,NotYet
10.0,6.9,7.2,-6.0,-1.8,150.0,NotYet
10.0,6.9,7.2,-6.0,-1.8,160.0,NotYet
10.0,6.9,7.2,-6.0,-1.8,170.0,NotYet
10.0,6.9,7.2,-4.0,-1.8,0.0,NotYet
10.0,6.9,7.2,-4.0,-1.8,10.0,NotYet
10.0,6.9,7.2,-4.0,-1.8,20.0,NotYet
10.0,6.9,7.2,-4.0,-1.8,30.0,NotYet
10.0,6.9,7.2,-4.0,-1.8,40.0,NotYet
10.0,6.9,7.2,-4.0,-1.8,50.0,NotYet
10.0,6.9,7.2,-4.0,-1.8,60.0,NotYet
10.0,6.9,7.2,-4.0,-1.8,70.0,NotYet
10.0,6.9,7.2,-4.0,-1.8,80.0,NotYet
10.0,6.9,7.2,-4.0,-1.8,90.0,NotYet
10.0,6.9,7.2,-4.0,-1.8,100.0,NotYet
10.0,6.9,7.2,-4.0,-1.8,110.0,NotYet
10.0,6.9,7.2,-4.0,-1.8,120.0,NotYet
10.0,6.9,7.2,-4.0,-1.8,130.0,NotYet
10.0,6.9,7.2,-4.0,-1.8,140.0,NotYet
10.0,6.9,7.2,-4.0,-1.8,150.0,NotYet
10.0,6.9,7.2,-4.0,-1.8,160.0,NotYet
10.0,6.9,7.2,-4.0,-1.8,170.0,NotYet
10.0,6.9,7.2,-2.0,-1.8,0.0,NotYet
10.0,6.9,7.2,-2.0,-1.8,10.0,NotYet
10.0,6.9,7.2,-2.0,-1.8,20.0,NotYet
10.0,6.9,7.2,-2.0,-1.8,30.0,NotYet
10.0,6.9,7.2,-2.0,-1.8,40.0,NotYet
10.0,6.9,7.2,-2.0,-1.8,50.0,NotYet
10.0,6.9,7.2,-2.0,-1.8,60.0,NotYet
10.0,6.9,7.2,-2.0,-1.8,70.0,NotYet
10.0,6.9,7.2,-2.0,-1.8,80.0,NotYet
10.0,6.9,7.2,-2.0,-1.8,90.0,NotYet
10.0,6.9,7.2,-2.0,-1.8,100.0,NotYet
10.0,6.9,7.2,-2.0,-1.8,110.0,NotYet
10.0,6.9,7.2,-2.0,-1.8,120.0,NotYet
10.0,6.9,7.2,-2.0,-1.8,130.0,NotYet
10.0,6.9,7.2,-2.0,-1.8,140.0,NotYet
10.0,6.9,7.2,-2.0,-1.8,150.0,NotYet
10.0,6.9,7.2,-2.0,-1.8,160.0,NotYet
10.0,6.9,7.2,-2.0,-1.8,170.0,NotYet
10.0,6.9,7.2,0.0,-1.8,0.0,NotYet
10.0,6.9,7.2,0.0,-1.8,10.0,NotYet
10.0,6.9,7.2,0.0,-1.8,20.0,NotYet
10.0,6.9,7.2,0.0,-1.8,30.0,NotYet
10.0,6.9,7.2,0.0,-1.8,40.0,NotYet
10.0,6.9,7.2,0.0,-1.8,50.0,NotYet
10.0,6.9,7.2,0.0,-1.8,60.0,NotYet
10.0,6.9,7.2,0.0,-1.8,70.0,NotYet
10.0,6.9,7.2,0.0,-1.8,80.0,NotYet
10.0,6.9,7.2,0.0,-1.8,90.0,NotYet
10.0,6.9,7.2,0.0,-1.8,100.0,NotYet
10.0,6.9,7.2,0.0,-1.8,110.0,NotYet
10.0,6.9,7.2,0.0,-1.8,120.0,NotYet
10.0,6.9,7.2,0.0,-1.8,130.0,NotYet
10.0,6.9,7.2,0.0,-1.8,140.0,NotYet
10.0,6.9,7.2,0.0,-1.8,150.0,NotYet
10.0,6.9,7.2,0.0,-1.8,160.0,NotYet
10.0,6.9,7.2,0.0,-1.8,170.0,NotYet
10.0,6.9,7.2,2.0,-1.8,0.0,NotYet
10.0,6.9,7.2,2.0,-1.8,10.0,NotYet
10.0,6.9,7.2,2.0,-1.8,20.0,NotYet
10.0,6.9,7.2,2.0,-1.8,30.0,NotYet
10.0,6.9,7.2,2.0,-1.8,40.0,NotYet
10.0,6.9,7.2,2.0,-1.8,50.0,NotYet
10.0,6.9,7.2,2.0,-1.8,60.0,NotYet
10.0,6.9,7.2,2.0,-1.8,70.0,NotYet
10.0,6.9,7.2,2.0,-1.8,80.0,NotYet
10.0,6.9,7.2,2.0,-1.8,90.0,NotYet
10.0,6.9,7.2,2.0,-1.8,100.0,NotYet
10.0,6.9,7.2,2.0,-1.8,110.0,NotYet
10.0,6.9,7.2,2.0,-1.8,120.0,NotYet
10.0,6.9,7.2,2.0,-1.8,130.0,NotYet
10.0,6.9,7.2,2.0,-1.8,140.0,NotYet
10.0,6.9,7.2,2.0,-1.8,150.0,NotYet
10.0,6.9,7.2,2.0,-1.8,160.0,NotYet
10.0,6.9,7.2,2.0,-1.8,170.0,NotYet
10.0,6.9,7.2,4.0,-1.8,0.0,NotYet
10.0,6.9,7.2,4.0,-1.8,10.0,NotYet
10.0,6.9,7.2,4.0,-1.8,20.0,NotYet
10.0,6.9,7.2,4.0,-1.8,30.0,NotYet
10.0,6.9,7.2,4.0,-1.8,40.0,NotYet
10.0,6.9,7.2,4.0,-1.8,50.0,NotYet
10.0,6.9,7.2,4.0,-1.8,60.0,NotYet
10.0,6.9,7.2,4.0,-1.8,70.0,NotYet
10.0,6.9,7.2,4.0,-1.8,80.0,NotYet
10.0,6.9,7.2,4.0,-1.8,90.0,NotYet
10.0,6.9,7.2,4.0,-1.8,100.0,NotYet
10.0,6.9,7.2,4.0,-1.8,110.0,NotYet
10.0,6.9,7.2,4.0,-1.8,120.0,NotYet
10.0,6.9,7.2,4.0,-1.8,130.0,NotYet
10.0,6.9,7.2,4.0,-1.8,140.0,NotYet
10.0,6.9,7.2,4.0,-1.8,150.0,NotYet
10.0,6.9,7.2,4.0,-1.8,160.0,NotYet
10.0,6.9,7.2,4.0,-1.8,170.0,NotYet
10.0,6.9,7.2,6.0,-1.8,0.0,NotYet
10.0,6.9,7.2,6.0,-1.8,10.0,NotYet
10.0,6.9,7.2,6.0,-1.8,20.0,NotYet
10.0,6.9,7.2,6.0,-1.8,30.0,NotYet
10.0,6.9,7.2,6.0,-1.8,40.0,NotYet
10.0,6.9,7.2,6.0,-1.8,50.0,NotYet
10.0,6.9,7.2,6.0,-1.8,60.0,NotYet
10.0,6.9,7.2,6.0,-1.8,70.0,NotYet
10.0,6.9,7.2,6.0,-1.8,80.0,NotYet
10.0,6.9,7.2,6.0,-1.8,90.0,NotYet
10.0,6.9,7.2,6.0,-1.8,100.0,NotYet
10.0,6.9,7.2,6.0,-1.8,110.0,NotYet
10.0,6.9,7.2,6.0,-1.8,120.0,NotYet
10.0,6.9,7.2,6.0,-1.8,130.0,NotYet
10.0,6.9,7.2,6.0,-1.8,140.0,NotYet
10.0,6.9,7.2,6.0,-1.8,150.0,NotYet
10.0,6.9,7.2,6.0,-1.8,160.0,NotYet
10.0,6.9,7.2,6.0,-1.8,170.0,NotYet
10.0,6.9,7.2,8.0,-1.8,0.0,NotYet
10.0,6.9,7.2,8.0,-1.8,10.0,NotYet
10.0,6.9,7.2,8.0,-1.8,20.0,NotYet
10.0,6.9,7.2,8.0,-1.8,30.0,NotYet
10.0,6.9,7.2,8.0,-1.8,40.0,NotYet
10.0,6.9,7.2,8.0,-1.8,50.0,NotYet
10.0,6.9,7.2,8.0,-1.8,60.0,NotYet
10.0,6.9,7.2,8.0,-1.8,70.0,NotYet
10.0,6.9,7.2,8.0,-1.8,80.0,NotYet
10.0,6.9,7.2,8.0,-1.8,90.0,NotYet
10.0,6.9,7.2,8.0,-1.8,100.0,NotYet
10.0,6.9,7.2,8.0,-1.8,110.0,NotYet
10.0,6.9,7.2,8.0,-1.8,120.0,NotYet
10.0,6.9,7.2,8.0,-1.8,130.0,NotYet
10.0,6.9,7.2,8.0,-1.8,140.0,NotYet
10.0,6.9,7.2,8.0,-1.8,150.0,NotYet
10.0,6.9,7.2,8.0,-1.8,160.0,NotYet
10.0,6.9,7.2,8.0,-1.8,170.0,NotYet
10.0,6.9,7.2,10.0,-1.8,0.0,NotYet
10.0,6.9,7.2,10.0,-1.8,10.0,NotYet
10.0,6.9,7.2,10.0,-1.8,20.0,NotYet
10.0,6.9,7.2,10.0,-1.8,30.0,NotYet
10.0,6.9,7.2,10.0,-1.8,40.0,NotYet
