theta,a,b,A2,z,phi,status
35.0,9.6,5.5,10.0,-1.8,60.0,NotYet
35.0,9.6,5.5,10.0,-1.8,70.0,NotYet
35.0,9.6,5.5,10.0,-1.8,80.0,NotYet
35.0,9.6,5.5,10.0,-1.8,90.0,NotYet
35.0,9.6,5.5,10.0,-1.8,100.0,NotYet
35.0,9.6,5.5,10.0,-1.8,110.0,NotYet
35.0,9.6,5.5,10.0,-1.8,120.0,NotYet
35.0,9.6,5.5,10.0,-1.8,130.0,NotYet
35.0,9.6,5.5,10.0,-1.8,140.0,NotYet
35.0,9.6,5.5,10.0,-1.8,150.0,NotYet
35.0,9.6,5.5,10.0,-1.8,160.0,NotYet
35.0,9.6,5.5,10.0,-1.8,170.0,NotYet
35.0,9.6,5.5,-10.0,-1.6,0.0,NotYet
35.0,9.6,5.5,-10.0,-1.6,10.0,NotYet
35.0,9.6,5.5,-10.0,-1.6,20.0,NotYet
35.0,9.6,5.5,-10.0,-1.6,30.0,NotYet
35.0,9.6,5.5,-10.0,-1.6,40.0,NotYet
35.0,9.6,5.5,-10.0,-1.6,50.0,NotYet
35.0,9.6,5.5,-10.0,-1.6,60.0,NotYet
35.0,9.6,5.5,-10.0,-1.6,70.0,NotYet
35.0,9.6,5.5,-10.0,-1.6,80.0,NotYet
35.0,9.6,5.5,-10.0,-1.6,90.0,NotYet
35.0,9.6,5.5,-10.0,-1.6,100.0,NotYet
35.0,9.6,5.5,-10.0,-1.6,110.0,NotYet
35.0,9.6,5.5,-10.0,-1.6,120.0,NotYet
35.0,9.6,5.5,-10.0,-1.6,130.0,NotYet
35.0,9.6,5.5,-10.0,-1.6,140.0,NotYet
35.0,9.6,5.5,-10.0,-1.6,150.0,NotYet
35.0,9.6,5.5,-10.0,-1.6,160.0,NotYet
35.0,9.6,5.5,-10.0,-1.6,170.0,NotYet
35.0,9.6,5.5,-8.0,-1.6,0.0,NotYet
35.0,9.6,5.5,-8.0,-1.6,10.0,NotYet
35.0,9.6,5.5,-8.0,-1.6,20.0,NotYet
35.0,9.6,5.5,-8.0,-1.6,30.0,NotYet
35.0,9.6,5.5,-8.0,-1.6,40.0,NotYet
35.0,9.6,5.5,-8.0,-1.6,50.0,NotYet
35.0,9.6,5.5,-8.0,-1.6,60.0,NotYet
35.0,9.6,5.5,-8.0,-1.6,70.0,NotYet
35.0,9.6,5.5,-8.0,-1.6,80.0,NotYet
35.0,9.6,5.5,-8.0,-1.6,90.0,NotYet
35.0,9.6,5.5,-8.0,-1.6,100.0,NotYet
35.0,9.6,5.5,-8.0,-1.6,110.0,NotYet
35.0,9.6,5.5,-8.0,-1.6,120.0,NotYet
35.0,9.6,5.5,-8.0,-1.6,130.0,NotYet
35.0,9.6,5.5,-8.0,-1.6,140.0,NotYet
35.0,9.6,5.5,-8.0,-1.6,150.0,NotYet
35.0,9.6,5.5,-8.0,-1.6,160.0,NotYet
35.0,9.6,5.5,-8.0,-1.6,170.0,NotYet
35.0,9.6,5.5,-6.0,-1.6,0.0,NotYet
35.0,9.6,5.5,-6.0,-1.6,10.0,NotYet
35.0,9.6,5.5,-6.0,-1.6,20.0,NotYet
35.0,9.6,5.5,-6.0,-1.6,30.0,NotYet
35.0,9.6,5.5,-6.0,-1.6,40.0,NotYet
35.0,9.6,5.5,-6.0,-1.6,50.0,NotYet
35.0,9.6,5.5,-6.0,-1.6,60.0,NotYet
35.0,9.6,5.5,-6.0,-1.6,70.0,NotYet
35.0,9.6,5.5,-6.0,-1.6,80.0,NotYet
35.0,9.6,5.5,-6.0,-1.6,90.0,NotYet
35.0,9.6,5.5,-6.0,-1.6,100.0,NotYet
35.0,9.6,5.5,-6.0,-1.6,110.0,NotYet
35.0,9.6,5.5,-6.0,-1.6,120.0,NotYet
35.0,9.6,5.5,-6.0,-1.6,130.0,NotYet
35.0,9.6,5.5,-6.0,-1.6,140.0,NotYet
35.0,9.6,5.5,-6.0,-1.6,150.0,NotYet
35.0,9.6,5.5,-6.0,-1.6,160.0,NotYet
35.0,9.6,5.5,-6.0,-1.6,170.0,NotYet
35.0,9.6,5.5,-4.0,-1.6,0.0,NotYet
35.0,9.6,5.5,-4.0,-1.6,10.0,NotYet
35.0,9.6,5.5,-4.0,-1.6,20.0,NotYet
35.0,9.6,5.5,-4.0,-1.6,30.0,NotYet
35.0,9.6,5.5,-4.0,-1.6,40.0,NotYet
35.0,9.6,5.5,-4.0,-1.6,50.0,NotYet
35.0,9.6,5.5,-4.0,-1.6,60.0,NotYet
35.0,9.6,5.5,-4.0,-1.6,70.0,NotYet
35.0,9.6,5.5,-4.0,-1.6,80.0,NotYet
35.0,9.6,5.5,-4.0,-1.6,90.0,NotYet
35.0,9.6,5.5,-4.0,-1.6,100.0,NotYet
35.0,9.6,5.5,-4.0,-1.6,110.0,NotYet
35.0,9.6,5.5,-4.0,-1.6,120.0,NotYet
35.0,9.6,5.5,-4.0,-1.6,130.0,NotYet
35.0,9.6,5.5,-4.0,-1.6,140.0,NotYet
35.0,9.6,5.5,-4.0,-1.6,150.0,NotYet
35.0,9.6,5.5,-4.0,-1.6,160.0,NotYet
35.0,9.6,5.5,-4.0,-1.6,170.0,NotYet
35.0,9.6,5.5,-2.0,-1.6,0.0,NotYet
35.0,9.6,5.5,-2.0,-1.6,10.0,NotYet
35.0,9.6,5.5,-2.0,-1.6,20.0,NotYet
35.0,9.6,5.5,-2.0,-1.6,30.0,NotYet
35.0,9.6,5.5,-2.0,-1.6,40.0,NotYet
35.0,9.6,5.5,-2.0,-1.6,50.0,NotYet
35.0,9.6,5.5,-2.0,-1.6,60.0,NotYet
35.0,9.6,5.5,-2.0,-1.6,70.0,NotYet
35.0,9.6,5.5,-2.0,-1.6,80.0,NotYet
35.0,9.6,5.5,-2.0,-1.6,90.0,NotYet
35.0,9.6,5.5,-2.0,-1.6,100.0,NotYet
35.0,9.6,5.5,-2.0,-1.6,110.0,NotYet
35.0,9.6,5.5,-2.0,-1.6,120.0,NotYet
35.0,9.6,5.5,-2.0,-1.6,130.0,NotYet
35.0,9.6,5.5,-2.0,-1.6,140.0,NotYet
35.0,9.6,5.5,-2.0,-1.6,150.0,NotYet
35.0,9.6,5.5,-2.0,-1.6,160.0,NotYet
35.0,9.6,5.5,-2.0,-1.6,170.0,NotYet
35.0,9.6,5.5,0.0,-1.6,0.0,NotYet
35.0,9.6,5.5,0.0,-1.6,10.0,NotYet
35.0,9.6,5.5,0.0,-1.6,20.0,NotYet
35.0,9.6,5.5,0.0,-1.6,30.0,NotYet
35.0,9.6,5.5,0.0,-1.6,40.0,NotYet
35.0,9.6,5.5,0.0,-1.6,50.0,NotYet
35.0,9.6,5.5,0.0,-1.6,60.0,NotYet
35.0,9.6,5.5,0.0,-1.6,70.0,NotYet
35.0,9.6,5.5,0.0,-1.6,80.0,NotYet
35.0,9.6,5.5,0.0,-1.6,90.0,NotYet
35.0,9.6,5.5,0.0,-1.6,100.0,NotYet
35.0,9.6,5.5,0.0,-1.6,110.0,NotYet
35.0,9.6,5.5,0.0,-1.6,120.0,NotYet
35.0,9.6,5.5,0.0,-1.6,130.0,NotYet
35.0,9.6,5.5,0.0,-1.6,140.0,NotYet
35.0,9.6,5.5,0.0,-1.6,150.0,NotYet
35.0,9.6,5.5,0.0,-1.6,160.0,NotYet
35.0,9.6,5.5,0.0,-1.6,170.0,NotYet
35.0,9.6,5.5,2.0,-1.6,0.0,NotYet
35.0,9.6,5.5,2.0,-1.6,10.0,NotYet
35.0,9.6,5.5,2.0,-1.6,20.0,NotYet
35.0,9.6,5.5,2.0,-1.6,30.0,NotYet
35.0,9.6,5.5,2.0,-1.6,40.0,NotYet
35.0,9.6,5.5,2.0,-1.6,50.0,NotYet
35.0,9.6,5.5,2.0,-1.6,60.0,NotYet
35.0,9.6,5.5,2.0,-1.6,70.0,NotYet
35.0,9.6,5.5,2.0,-1.6,80.0,NotYet
35.0,9.6,5.5,2.0,-1.6,90.0,NotYet
35.0,9.6,5.5,2.0,-1.6,100.0,NotYet
35.0,9.6,5.5,2.0,-1.6,110.0,NotYet
35.0,9.6,5.5,2.0,-1.6,120.0,NotYet
35.0,9.6,5.5,2.0,-1.6,130.0,NotYet
35.0,9.6,5.5,2.0,-1.6,140.0,NotYet
35.0,9.6,5.5,2.0,-1.6,150.0,NotYet
35.0,9.6,5.5,2.0,-1.6,160.0,NotYet
35.0,9.6,5.5,2.0,-1.6,170.0,NotYet
35.0,9.6,5.5,4.0,-1.6,0.0,NotYet
35.0,9.6,5.5,4.0,-1.6,10.0,NotYet
35.0,9.6,5.5,4.0,-1.6,20.0,NotYet
35.0,9.6,5.5,4.0,-1.6,30.0,NotYet
35.0,9.6,5.5,4.0,-1.6,40.0,NotYet
35.0,9.6,5.5,4.0,-1.6,50.0,NotYet
35.0,9.6,5.5,4.0,-1.6,60.0,NotYet
35.0,9.6,5.5,4.0,-1.6,70.0,NotYet
35.0,9.6,5.5,4.0,-1.6,80.0,NotYet
35.0,9.6,5.5,4.0,-1.6,90.0,NotYet
35.0,9.6,5.5,4.0,-1.6,100.0,NotYet
35.0,9.6,5.5,4.0,-1.6,110.0,NotYet
35.0,9.6,5.5,4.0,-1.6,120.0,NotYet
35.0,9.6,5.5,4.0,-1.6,130.0,NotYet
35.0,9.6,5.5,4.0,-1.6,140.0,NotYet
35.0,9.6,5.5,4.0,-1.6,150.0,NotYet
35.0,9.6,5.5,4.0,-1.6,160.0,NotYet
35.0,9.6,5.5,4.0,-1.6,170.0,NotYet
35.0,9.6,5.5,8.0,-1.6,0.0,NotYet
35.0,9.6,5.5,8.0,-1.6,10.0,NotYet
35.0,9.6,5.5,8.0,-1.6,20.0,NotYet
35.0,9.6,5.5,8.0,-1.6,30.0,NotYet
35.0,9.6,5.5,8.0,-1.6,40.0,NotYet
35.0,9.6,5.5,8.0,-1.6,50.0,NotYet
35.0,9.6,5.5,8.0,-1.6,60.0,NotYet
35.0,9.6,5.5,8.0,-1.6,70.0,NotYet
35.0,9.6,5.5,8.0,-1.6,80.0,NotYet
35.0,9.6,5.5,8.0,-1.6,90.0,NotYet
35.0,9.6,5.5,8.0,-1.6,100.0,NotYet
35.0,9.6,5.5,8.0,-1.6,110.0,NotYet
35.0,9.6,5.5,8.0,-1.6,120.0,NotYet
35.0,9.6,5.5,8.0,-1.6,130.0,NotYet
35.0,9.6,5.5,8.0,-1.6,140.0,NotYet
35.0,9.6,5.5,8.0,-1.6,150.0,NotYet
35.0,9.6,5.5,8.0,-1.6,160.0,NotYet
35.0,9.6,5.5,8.0,-1.6,170.0,NotYet
35.0,9.6,5.5,10.0,-1.6,0.0,NotYet
35.0,9.6,5.5,10.0,-1.6,10.0,NotYet
35.0,9.6,5.5,10.0,-1.6,20.0,NotYet
35.0,9.6,5.5,10.0,-1.6,30.0,NotYet
35.0,9.6,5.5,10.0,-1.6,40.0,NotYet
35.0,9.6,5.5,10.0,-1.6,50.0,NotYet
35.0,9.6,5.5,10.0,-1.6,60.0,NotYet
35.0,9.6,5.5,10.0,-1.6,70.0,NotYet
35.0,9.6,5.5,10.0,-1.6,80.0,NotYet
35.0,9.6,5.5,10.0,-1.6,90.0,NotYet
35.0,9.6,5.5,10.0,-1.6,100.0,NotYet
35.0,9.6,5.5,10.0,-1.6,110.0,NotYet
35.0,9.6,5.5,10.0,-1.6,120.0,NotYet
35.0,9.6,5.5,10.0,-1.6,130.0,NotYet
35.0,9.6,5.5,10.0,-1.6,140.0,NotYet
35.0,9.6,5.5,10.0,-1.6,150.0,NotYet
35.0,9.6,5.5,10.0,-1.6,160.0,NotYet
35.0,9.6,5.5,10.0,-1.6,170.0,NotYet
35.0,9.6,5.5,-10.0,-1.4,0.0,NotYet
35.0,9.6,5.5,-10.0,-1.4,10.0,NotYet
35.0,9.6,5.5,-10.0,-1.4,20.0,NotYet
35.0,9.6,5.5,-10.0,-1.4,30.0,NotYet
35.0,9.6,5.5,-10.0,-1.4,40.0,NotYet
35.0,9.6,5.5,-10.0,-1.4,50.0,NotYet
35.0,9.6,5.5,-10.0,-1.4,60.0,NotYet
35.0,9.6,5.5,-10.0,-1.4,70.0,NotYet
35.0,9.6,5.5,-10.0,-1.4,80.0,NotYet
35.0,9.6,5.5,-10.0,-1.4,90.0,NotYet
35.0,9.6,5.5,-10.0,-1.4,100.0,NotYet
35.0,9.6,5.5,-10.0,-1.4,110.0,NotYet
35.0,9.6,5.5,-10.0,-1.4,120.0,NotYet
35.0,9.6,5.5,-10.0,-1.4,130.0,NotYet
35.0,9.6,5.5,-10.0,-1.4,140.0,NotYet
35.0,9.6,5.5,-10.0,-1.4,150.0,NotYet
35.0,9.6,5.5,-10.0,-1.4,160.0,NotYet
35.0,9.6,5.5,-10.0,-1.4,170.0,NotYet
35.0,9.6,5.5,-8.0,-1.4,0.0,NotYet
35.0,9.6,5.5,-8.0,-1.4,10.0,NotYet
35.0,9.6,5.5,-8.0,-1.4,20.0,NotYet
35.0,9.6,5.5,-8.0,-1.4,30.0,NotYet
35.0,9.6,5.5,-8.0,-1.4,40.0,NotYet
35.0,9.6,5.5,-8.0,-1.4,50.0,NotYet
35.0,9.6,5.5,-8.0,-1.4,60.0,NotYet
35.0,9.6,5.5,-8.0,-1.4,70.0,NotYet
35.0,9.6,5.5,-8.0,-1.4,80.0,NotYet
35.0,9.6,5.5,-8.0,-1.4,90.0,NotYet
35.0,9.6,5.5,-8.0,-1.4,100.0,NotYet
35.0,9.6,5.5,-8.0,-1.4,110.0,NotYet
35.0,9.6,5.5,-8.0,-1.4,120.0,NotYet
35.0,9.6,5.5,-8.0,-1.4,130.0,NotYet
35.0,9.6,5.5,-8.0,-1.4,140.0,NotYet
35.0,9.6,5.5,-8.0,-1.4,150.0,NotYet
35.0,9.6,5.5,-8.0,-1.4,160.0,NotYet
35.0,9.6,5.5,-8.0,-1.4,170.0,NotYet
35.0,9.6,5.5,-6.0,-1.4,0.0,NotYet
35.0,9.6,5.5,-6.0,-1.4,10.0,NotYet
35.0,9.6,5.5,-6.0,-1.4,20.0,NotYet
35.0,9.6,5.5,-6.0,-1.4,30.0,NotYet
35.0,9.6,5.5,-6.0,-1.4,40.0,NotYet
35.0,9.6,5.5,-6.0,-1.4,50.0,NotYet
35.0,9.6,5.5,-6.0,-1.4,60.0,NotYet
35.0,9.6,5.5,-6.0,-1.4,70.0,NotYet
35.0,9.6,5.5,-6.0,-1.4,80.0,NotYet
35.0,9.6,5.5,-6.0,-1.4,90.0,NotYet
35.0,9.6,5.5,-6.0,-1.4,100.0,NotYet
35.0,9.6,5.5,-6.0,-1.4,110.0,NotYet
35.0,9.6,5.5,-6.0,-1.4,120.0,NotYet
35.0,9.6,5.5,-6.0,-1.4,130.0,NotYet
35.0,9.6,5.5,-6.0,-1.4,140.0,NotYet
35.0,9.6,5.5,-6.0,-1.4,150.0,NotYet
35.0,9.6,5.5,-6.0,-1.4,160.0,NotYet
35.0,9.6,5.5,-6.0,-1.4,170.0,NotYet
35.0,9.6,5.5,-4.0,-1.4,0.0,NotYet
35.0,9.6,5.5,-4.0,-1.4,10.0,NotYet
35.0,9.6,5.5,-4.0,-1.4,20.0,NotYet
35.0,9.6,5.5,-4.0,-1.4,30.0,NotYet
35.0,9.6,5.5,-4.0,-1.4,40.0,NotYet
35.0,9.6,5.5,-4.0,-1.4,50.0,NotYet
35.0,9.6,5.5,-4.0,-1.4,60.0,NotYet
35.0,9.6,5.5,-4.0,-1.4,70.0,NotYet
35.0,9.6,5.5,-4.0,-1.4,80.0,NotYet
35.0,9.6,5.5,-4.0,-1.4,90.0,NotYet
35.0,9.6,5.5,-4.0,-1.4,100.0,NotYet
35.0,9.6,5.5,-4.0,-1.4,110.0,NotYet
35.0,9.6,5.5,-4.0,-1.4,120.0,NotYet
35.0,9.6,5.5,-4.0,-1.4,130.0,NotYet
35.0,9.6,5.5,-4.0,-1.4,140.0,NotYet
35.0,9.6,5.5,-4.0,-1.4,150.0,NotYet
35.0,9.6,5.5,-4.0,-1.4,160.0,NotYet
35.0,9.6,5.5,-4.0,-1.4,170.0,NotYet
35.0,9.6,5.5,-2.0,-1.4,0.0,NotYet
35.0,9.6,5.5,-2.0,-1.4,10.0,NotYet
35.0,9.6,5.5,-2.0,-1.4,20.0,NotYet
35.0,9.6,5.5,-2.0,-1.4,30.0,NotYet
35.0,9.6,5.5,-2.0,-1.4,40.0,NotYet
35.0,9.6,5.5,-2.0,-1.4,50.0,NotYet
35.0,9.6,5.5,-2.0,-1.4,60.0,NotYet
35.0,9.6,5.5,-2.0,-1.4,70.0,NotYet
35.0,9.6,5.5,-2.0,-1.4,80.0,NotYet
35.0,9.6,5.5,-2.0,-1.4,90.0,NotYet
35.0,9.6,5.5,-2.0,-1.4,100.0,NotYet
35.0,9.6,5.5,-2.0,-1.4,110.0,NotYet
35.0,9.6,5.5,-2.0,-1.4,120.0,NotYet
35.0,9.6,5.5,-2.0,-1.4,130.0,NotYet
35.0,9.6,5.5,-2.0,-1.4,140.0,NotYet
35.0,9.6,5.5,-2.0,-1.4,150.0,NotYet
35.0,9.6,5.5,-2.0,-1.4,160.0,NotYet
35.0,9.6,5.5,-2.0,-1.4,170.0,NotYet
35.0,9.6,5.5,0.0,-1.4,0.0,NotYet
35.0,9.6,5.5,0.0,-1.4,10.0,NotYet
35.0,9.6,5.5,0.0,-1.4,20.0,NotYet
35.0,9.6,5.5,0.0,-1.4,30.0,NotYet
35.0,9.6,5.5,0.0,-1.4,40.0,NotYet
35.0,9.6,5.5,0.0,-1.4,50.0,NotYet
35.0,9.6,5.5,0.0,-1.4,60.0,NotYet
35.0,9.6,5.5,0.0,-1.4,70.0,NotYet
35.0,9.6,5.5,0.0,-1.4,80.0,NotYet
35.0,9.6,5.5,0.0,-1.4,90.0,NotYet
35.0,9.6,5.5,0.0,-1.4,100.0,NotYet
35.0,9.6,5.5,0.0,-1.4,110.0,NotYet
35.0,9.6,5.5,0.0,-1.4,120.0,NotYet
35.0,9.6,5.5,0.0,-1.4,130.0,NotYet
35.0,9.6,5.5,0.0,-1.4,140.0,NotYet
35.0,9.6,5.5,0.0,-1.4,150.0,NotYet
35.0,9.6,5.5,0.0,-1.4,160.0,NotYet
35.0,9.6,5.5,0.0,-1.4,170.0,NotYet
35.0,9.6,5.5,2.0,-1.4,0.0,NotYet
35.0,9.6,5.5,2.0,-1.4,10.0,NotYet
35.0,9.6,5.5,2.0,-1.4,20.0,NotYet
35.0,9.6,5.5,2.0,-1.4,30.0,NotYet
35.0,9.6,5.5,2.0,-1.4,40.0,NotYet
35.0,9.6,5.5,2.0,-1.4,50.0,NotYet
35.0,9.6,5.5,2.0,-1.4,60.0,NotYet
35.0,9.6,5.5,2.0,-1.4,70.0,NotYet
35.0,9.6,5.5,2.0,-1.4,80.0,NotYet
35.0,9.6,5.5,2.0,-1.4,90.0,NotYet
35.0,9.6,5.5,2.0,-1.4,100.0,NotYet
35.0,9.6,5.5,2.0,-1.4,110.0,NotYet
35.0,9.6,5.5,2.0,-1.4,120.0,NotYet
35.0,9.6,5.5,2.0,-1.4,130.0,NotYet
35.0,9.6,5.5,2.0,-1.4,140.0,NotYet
35.0,9.6,5.5,2.0,-1.4,150.0,NotYet
35.0,9.6,5.5,2.0,-1.4,160.0,NotYet
35.0,9.6,5.5,2.0,-1.4,170.0,NotYet
35.0,9.6,5.5,4.0,-1.4,0.0,NotYet
35.0,9.6,5.5,4.0,-1.4,10.0,NotYet
35.0,9.6,5.5,4.0,-1.4,20.0,NotYet
35.0,9.6,5.5,4.0,-1.4,30.0,NotYet
35.0,9.6,5.5,4.0,-1.4,40.0,NotYet
35.0,9.6,5.5,4.0,-1.4,50.0,NotYet
35.0,9.6,5.5,4.0,-1.4,60.0,NotYet
35.0,9.6,5.5,4.0,-1.4,70.0,NotYet
35.0,9.6,5.5,4.0,-1.4,80.0,NotYet
35.0,9.6,5.5,4.0,-1.4,90.0,NotYet
35.0,9.6,5.5,4.0,-1.4,100.0,NotYet
35.0,9.6,5.5,4.0,-1.4,110.0,NotYet
35.0,9.6,5.5,4.0,-1.4,120.0,NotYet
35.0,9.6,5.5,4.0,-1.4,130.0,NotYet
35.0,9.6,5.5,4.0,-1.4,140.0,NotYet
35.0,9.6,5.5,4.0,-1.4,150.0,NotYet
35.0,9.6,5.5,4.0,-1.4,160.0,NotYet
35.0,9.6,5.5,4.0,-1.4,170.0,NotYet
35.0,9.6,5.5,6.0,-1.4,0.0,NotYet
35.0,9.6,5.5,6.0,-1.4,10.0,NotYet
35.0,9.6,5.5,6.0,-1.4,20.0,NotYet
35.0,9.6,5.5,6.0,-1.4,30.0,NotYet
35.0,9.6,5.5,6.0,-1.4,40.0,NotYet
35.0,9.6,5.5,6.0,-1.4,50.0,NotYet
35.0,9.6,5.5,6.0,-1.4,60.0,NotYet
35.0,9.6,5.5,6.0,-1.4,70.0,NotYet
35.0,9.6,5.5,6.0,-1.4,80.0,NotYet
35.0,9.6,5.5,6.0,-1.4,90.0,NotYet
35.0,9.6,5.5,6.0,-1.4,100.0,NotYet
35.0,9.6,5.5,6.0,-1.4,110.0,NotYet
35.0,9.6,5.5,6.0,-1.4,120.0,NotYet
35.0,9.6,5.5,6.0,-1.4,130.0,NotYet
35.0,9.6,5.5,6.0,-1.4,140.0,NotYet
35.0,9.6,5.5,6.0,-1.4,150.0,NotYet
35.0,9.6,5.5,6.0,-1.4,160.0,NotYet
35.0,9.6,5.5,6.0,-1.4,170.0,NotYet
35.0,9.6,5.5,8.0,-1.4,0.0,NotYet
35.0,9.6,5.5,8.0,-1.4,10.0,NotYet
35.0,9.6,5.5,8.0,-1.4,20.0,NotYet
35.0,9.6,5.5,8.0,-1.4,30.0,NotYet
35.0,9.6,5.5,8.0,-1.4,40.0,NotYet
35.0,9.6,5.5,8.0,-1.4,50.0,NotYet
35.0,9.6,5.5,8.0,-1.4,60.0,NotYet
35.0,9.6,5.5,8.0,-1.4,70.0,NotYet
35.0,9.6,5.5,8.0,-1.4,80.0,NotYet
35.0,9.6,5.5,8.0,-1.4,90.0,NotYet
35.0,9.6,5.5,8.0,-1.4,100.0,NotYet
35.0,9.6,5.5,8.0,-1.4,110.0,NotYet
35.0,9.6,5.5,8.0,-1.4,120.0,NotYet
35.0,9.6,5.5,8.0,-1.4,130.0,NotYet
35.0,9.6,5.5,8.0,-1.4,140.0,NotYet
35.0,9.6,5.5,8.0,-1.4,150.0,NotYet
35.0,9.6,5.5,8.0,-1.4,160.0,NotYet
35.0,9.6,5.5,8.0,-1.4,170.0,NotYet
35.0,9.6,5.5,10.0,-1.4,0.0,NotYet
35.0,9.6,5.5,10.0,-1.4,10.0,NotYet
35.0,9.6,5.5,10.0,-1.4,20.0,NotYet
35.0,9.6,5.5,10.0,-1.4,30.0,NotYet
35.0,9.6,5.5,10.0,-1.4,40.0,NotYet
35.0,9.6,5.5,10.0,-1.4,50.0,NotYet
35.0,9.6,5.5,10.0,-1.4,60.0,NotYet
35.0,9.6,5.5,10.0,-1.4,70.0,NotYet
35.0,9.6,5.5,10.0,-1.4,80.0,NotYet
35.0,9.6,5.5,10.0,-1.4,90.0,NotYet
35.0,9.6,5.5,10.0,-1.4,100.0,NotYet
35.0,9.6,5.5,10.0,-1.4,110.0,NotYet
35.0,9.6,5.5,10.0,-1.4,120.0,NotYet
35.0,9.6,5.5,10.0,-1.4,130.0,NotYet
35.0,9.6,5.5,10.0,-1.4,140.0,NotYet
35.0,9.6,5.5,10.0,-1.4,150.0,NotYet
35.0,9.6,5.5,10.0,-1.4,160.0,NotYet
35.0,9.6,5.5,10.0,-1.4,170.0,NotYet
35.0,9.6,5.5,-10.0,-1.2,0.0,NotYet
35.0,9.6,5.5,-10.0,-1.2,10.0,NotYet
35.0,9.6,5.5,-10.0,-1.2,20.0,NotYet
35.0,9.6,5.5,-10.0,-1.2,30.0,NotYet
35.0,9.6,5.5,-10.0,-1.2,40.0,NotYet
35.0,9.6,5.5,-10.0,-1.2,50.0,NotYet
35.0,9.6,5.5,-10.0,-1.2,60.0,NotYet
35.0,9.6,5.5,-10.0,-1.2,70.0,NotYet
35.0,9.6,5.5,-10.0,-1.2,80.0,NotYet
35.0,9.6,5.5,-10.0,-1.2,90.0,NotYet
35.0,9.6,5.5,-10.0,-1.2,100.0,NotYet
35.0,9.6,5.5,-10.0,-1.2,110.0,NotYet
35.0,9.6,5.5,-10.0,-1.2,120.0,NotYet
35.0,9.6,5.5,-10.0,-1.2,130.0,NotYet
35.0,9.6,5.5,-10.0,-1.2,140.0,NotYet
35.0,9.6,5.5,-10.0,-1.2,150.0,NotYet
35.0,9.6,5.5,-10.0,-1.2,160.0,NotYet
35.0,9.6,5.5,-10.0,-1.2,170.0,NotYet
35.0,9.6,5.5,-8.0,-1.2,0.0,NotYet
35.0,9.6,5.5,-8.0,-1.2,10.0,NotYet
35.0,9.6,5.5,-8.0,-1.2,20.0,NotYet
35.0,9.6,5.5,-8.0,-1.2,30.0,NotYet
35.0,9.6,5.5,-8.0,-1.2,40.0,NotYet
35.0,9.6,5.5,-8.0,-1.2,50.0,NotYet
35.0,9.6,5.5,-8.0,-1.2,60.0,NotYet
35.0,9.6,5.5,-8.0,-1.2,70.0,NotYet
35.0,9.6,5.5,-8.0,-1.2,80.0,NotYet
35.0,9.6,5.5,-8.0,-1.2,90.0,NotYet
35.0,9.6,5.5,-8.0,-1.2,100.0,NotYet
35.0,9.6,5.5,-8.0,-1.2,110.0,NotYet
35.0,9.6,5.5,-8.0,-1.2,120.0,NotYet
35.0,9.6,5.5,-8.0,-1.2,130.0,NotYet
35.0,9.6,5.5,-8.0,-1.2,140.0,NotYet
35.0,9.6,5.5,-8.0,-1.2,150.0,NotYet
35.0,9.6,5.5,-8.0,-1.2,160.0,NotYet
35.0,9.6,5.5,-8.0,-1.2,170.0,NotYet
35.0,9.6,5.5,-6.0,-1.2,0.0,NotYet
35.0,9.6,5.5,-6.0,-1.2,10.0,NotYet
35.0,9.6,5.5,-6.0,-1.2,20.0,NotYet
35.0,9.6,5.5,-6.0,-1.2,30.0,NotYet
35.0,9.6,5.5,-6.0,-1.2,40.0,NotYet
35.0,9.6,5.5,-6.0,-1.2,50.0,NotYet
35.0,9.6,5.5,-6.0,-1.2,60.0,NotYet
35.0,9.6,5.5,-6.0,-1.2,70.0,NotYet
35.0,9.6,5.5,-6.0,-1.2,80.0,NotYet
35.0,9.6,5.5,-6.0,-1.2,90.0,NotYet
35.0,9.6,5.5,-6.0,-1.2,100.0,NotYet
35.0,9.6,5.5,-6.0,-1.2,110.0,NotYet
35.0,9.6,5.5,-6.0,-1.2,120.0,NotYet
35.0,9.6,5.5,-6.0,-1.2,130.0,NotYet
35.0,9.6,5.5,-6.0,-1.2,140.0,NotYet
35.0,9.6,5.5,-6.0,-1.2,150.0,NotYet
35.0,9.6,5.5,-6.0,-1.2,160.0,NotYet
35.0,9.6,5.5,-6.0,-1.2,170.0,NotYet
35.0,9.6,5.5,-4.0,-1.2,0.0,NotYet
35.0,9.6,5.5,-4.0,-1.2,10.0,NotYet
35.0,9.6,5.5,-4.0,-1.2,20.0,NotYet
35.0,9.6,5.5,-4.0,-1.2,30.0,NotYet
35.0,9.6,5.5,-4.0,-1.2,40.0,NotYet
35.0,9.6,5.5,-4.0,-1.2,50.0,NotYet
35.0,9.6,5.5,-4.0,-1.2,60.0,NotYet
35.0,9.6,5.5,-4.0,-1.2,70.0,NotYet
35.0,9.6,5.5,-4.0,-1.2,80.0,NotYet
35.0,9.6,5.5,-4.0,-1.2,90.0,NotYet
35.0,9.6,5.5,-4.0,-1.2,100.0,NotYet
35.0,9.6,5.5,-4.0,-1.2,110.0,NotYet
35.0,9.6,5.5,-4.0,-1.2,120.0,NotYet
