phi,E
0.0,41.871
10.0,40.097
20.0,37.073
30.0,35.302
40.0,34.997
50.0,35.497
60.0,36.281
70.0,37.061
80.0,37.636
90.0,37.856
100.0,37.645
110.0,37.08
120.0,36.312
130.0,35.544
140.0,35.064
150.0,35.393
160.0,37.189
170.0,40.233
180.0,42.014
