atom,X,Y,Z
C,0.0,1.1143008752861436,-3.3679881476852027
C,0.0,-0.20577156554396783,-2.8464745994994622
C,0.0,1.3600736145273515,-4.746185605906862
C,0.0,-1.2871911619496648,-3.7469709237324227
C,0.0,0.2684449627378608,-5.616461802794564
C,0.0,-1.0480432877776964,-5.119961931215117
S,0.0,2.3414863776495642,-2.0983352263836625
C,0.0,1.095063298643155,-0.8450227587020869
C,0.0,-0.22127164703965804,-1.3945398510311318
C,0.0,1.3266882583305248,0.5293113862084633
C,0.0,0.22127027263229182,1.394538028951443
C,0.0,-1.3266907011201736,-0.5293140762307184
C,0.0,-1.0950661635680743,0.8450204691243515
C,0.0,0.20577281698906638,2.846474814178678
C,0.0,-1.114299861647022,3.3679886889732322
S,0.0,-2.341492838785093,2.098332834281515
C,0.0,1.2871990820351042,3.746970263994116
C,0.0,1.0480430734522963,5.119960765729543
C,0.0,-1.3600718059276393,4.74618308448324
C,0.0,-0.26844590571484744,5.6164623737204815
H,0.0,1.8886584578983192,5.816918389623506
H,0.0,-2.381138771993243,5.132850798738172
H,0.0,2.343284394080464,0.9282238033072727
H,0.0,-2.343296011755197,-0.9282322952933073
H,0.0,2.3124348726326436,3.368534780527713
H,0.0,2.381141667319752,-5.1328581314981845
H,0.0,0.4421175191528387,-6.694746169283619
H,0.0,-1.888658181463136,-5.81691858371521
H,0.0,-2.312421941089638,-3.3685322818559675
C,-0.000386418,-0.512416235218968,7.131230524158596
C,-0.000351998,-1.9953729967406035,7.515035686304262
C,-0.000456624,-2.237806987938384,9.02771013609952
C,-0.000169575,-3.7209441895648308,9.411316740705997
C,-0.000441864,-8.900805878251852,15.088104506455458
C,-0.000111521,-7.415529131267588,14.717041805610624
C,-5.54e-05,-7.171845079102676,13.204051116733769
C,-8.99e-05,-5.6888883135866815,12.820245954800484
C,1.4760864528111047e-05,-5.44645432538467,11.307571504845939
C,-0.000272289,-3.963317125755402,10.923964900133273
H,0.882168463,-0.018821063950150485,7.579362411103863
H,-0.882988133,-0.018855059751416214,7.5793104447966115
H,-0.88291644,-2.4883387738657916,7.066578846682876
H,0.8823350995446116,-2.488246101538537,7.066715401735471
H,0.8819855975860645,-1.7448025335044313,9.476283281345598
H,-0.88318979,-1.7451698407103304,9.476116299636853
H,-0.882610301,-4.213981373488697,8.962754845556367
H,0.8825802161480846,-4.213590998247566,8.962931592837068
H,-0.000459905,-9.047809508332492,16.17903941001976
H,-0.888892714,-9.411061499306529,14.681872981857826
H,0.8877609367067067,-9.411480282592258,14.681858716438278
H,0.881967189,-6.921680731385813,15.16283163717935
H,-0.881976221,-6.92129689325537,15.162831887417052
H,-0.882610326,-7.665440250371493,12.755919229788502
H,0.8825462696177726,-7.665406251574459,12.755971196255038
H,0.8824745759964477,-5.195922543451622,13.268702794050204
H,-0.882776963,-5.1960152137816955,13.2685662391038
H,-0.882427461,-5.9394587848115705,10.858998359334386
H,0.8827479265448785,-5.9390914726127235,10.859165341308605
H,0.8821684368012671,-3.4702799418846317,11.372526796281491
H,-0.88302208,-3.470670317072666,11.372350048002204
